week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2018-07-15,THE PLAY THAT GOES WRONG,"$341,040","$677,688",50.3%,$65.05,$197,5243,6832,8,76.7%
2018-07-15,WAITRESS,"$771,069","$1,019,480",75.6%,$106.46,$270,7243,8360,8,86.6%
2018-07-15,WICKED,"$1,864,640","$1,779,845",104.8%,$127.49,$240,14626,14936,8,97.9%
2018-07-08,A BRONX TALE THE MUSICAL,"$524,500","$932,228",56.3%,$80.61,$225,6507,8352,8,77.9%
2018-07-08,ALADDIN,"$1,601,459","$1,775,688",90.2%,$116.35,$216,13764,13816,8,99.6%
2018-07-08,ANASTASIA,"$764,872","$1,105,421",69.2%,$95.59,$273,8002,9144,8,87.5%
2018-07-08,ANGELS IN AMERICA,"$912,838","$1,148,965",79.4%,$108.22,$247,8435,8532,6,98.9%
2018-07-08,BEAUTIFUL,"$674,540","$1,106,908",60.9%,$95.09,$247,7094,8208,8,86.4%
2018-07-08,CAROUSEL,"$736,029","$1,626,658",45.2%,$80.40,$323,9155,11424,8,80.1%
2018-07-08,CHICAGO,"$635,011","$958,024",66.3%,$84.71,$187,7496,8640,8,86.8%
2018-07-08,COME FROM AWAY,"$1,035,985","$1,260,966",82.2%,$121.42,$347,8532,8368,8,102.0%
2018-07-08,DEAR EVAN HANSEN,"$1,625,796","$1,429,344",113.7%,$203.35,$448,7995,7872,8,101.6%
2018-07-08,FROZEN,"$2,079,471","$2,036,628",102.1%,$156.61,$325,13278,13472,8,98.6%
2018-07-08,HAMILTON,"$3,173,284","$2,895,648",109.6%,$295.08,$849,10754,10568,8,101.8%
2018-07-08,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,192,011","$1,988,464",110.2%,$168.93,$297,12976,12976,8,100.0%
2018-07-08,HEAD OVER HEELS,"$295,898","$870,832",34.0%,$46.15,$258,6412,7584,8,84.5%
2018-07-08,"HELLO, DOLLY!","$777,296","$1,371,056",56.7%,$75.30,$297,10322,11568,8,89.2%
2018-07-08,KINKY BOOTS,"$672,022","$1,294,256",51.9%,$80.45,$249,8353,11392,8,73.3%
2018-07-08,MEAN GIRLS,"$1,571,583","$1,469,426",107.0%,$158.78,$400,9898,9800,8,101.0%
2018-07-08,MY FAIR LADY,"$1,300,772","$1,396,120",93.2%,$152.71,$323,8518,8552,8,99.6%
